"process"	"data"	"Type"	"Filter"	"recall"	"precision"	"F1"	"type_f"	"data_f"
"m2s2"	"2caller"	"INDEL"	"ALL"	0.872765	0.829412	0.850536	"INDEL"	"2caller"
"m2s2"	"2caller"	"SNP"	"ALL"	0.921246	0.818003	0.86656	"SNP"	"2caller"
"m2s2"	"union"	"INDEL"	"ALL"	0.963549	0.515453	0.67162	"INDEL"	"union"
"m2s2"	"union"	"SNP"	"ALL"	0.9469	0.756583	0.84111	"SNP"	"union"
"m2s2v"	"2caller"	"INDEL"	"ALL"	0.951857	0.702538	0.808411	"INDEL"	"2caller"
"m2s2v"	"2caller"	"SNP"	"ALL"	0.964013	0.809914	0.88027	"SNP"	"2caller"
"m2s2v"	"union"	"INDEL"	"ALL"	0.977304	0.086996	0.15977	"INDEL"	"union"
"m2s2v"	"union"	"SNP"	"ALL"	0.967795	0.460445	0.624008	"SNP"	"union"
"m2s2v2"	"2caller"	"INDEL"	"ALL"	0.954608	0.677404	0.792464	"INDEL"	"2caller"
"m2s2v2"	"2caller"	"SNP"	"ALL"	0.960428	0.804588	0.875628	"SNP"	"2caller"
"m2s2v2"	"union"	"INDEL"	"ALL"	0.973177	0.064312	0.120651	"INDEL"	"union"
"m2s2v2"	"union"	"SNP"	"ALL"	0.956451	0.15698	0.269696	"SNP"	"union"
"m2s2vv2"	"2caller"	"INDEL"	"ALL"	0.967675	0.411885	0.577823	"INDEL"	"2caller"
"m2s2vv2"	"2caller"	"SNP"	"ALL"	0.953843	0.748887	0.83903	"SNP"	"2caller"
"m2s2vv2"	"union"	"INDEL"	"ALL"	0.982806	0.041634	0.079884	"INDEL"	"union"
"m2s2vv2"	"union"	"SNP"	"ALL"	0.969587	0.141126	0.246389	"SNP"	"union"
